@relation cscsp

@attribute close numeric
@attribute hour numeric
@attribute consecutivedowns {BUCKET0,BUCKET1,BUCKET2,BUCKET3,BUCKET4,BUCKET5,BUCKET6,BUCKET7,BUCKET8,BUCKET9,BUCKET10,BUCKET11,BUCKET12,BUCKET13}
255.96, 6.0, BUCKET2, BUCKET5, BUCKET4, BUCKET5, BUCKET2, BUCKET10, BUCKET7, BUCKET8, BUCKET5, BUCKET6, BUCKET9, BUCKET5, BUCKET6, BUCKET6, BUCKET4, No
255.98, 5.0, BUCKET1, BUCKET5, BUCKET4, BUCKET5, BUCKET2, BUCKET9, BUCKET8, BUCKET8, BUCKET5, BUCKET6, BUCKET10, BUCKET3, BUCKET5, BUCKET4, BUCKET4, No
255.36, 5.0, BUCKET1, BUCKET4, BUCKET4, BUCKET5, BUCKET2, BUCKET8, BUCKET6, BUCKET6, BUCKET5, BUCKET6, BUCKET9, BUCKET7, BUCKET4, BUCKET4, BUCKET4, No
255.12, 5.0, BUCKET5, BUCKET4, BUCKET3, BUCKET5, BUCKET2, BUCKET7, BUCKET5, BUCKET4, BUCKET5, BUCKET6, BUCKET7, BUCKET3, BUCKET5, BUCKET4, BUCKET4, No
255.23, 5.0, BUCKET4, BUCKET4, BUCKET4, BUCKET5, BUCKET2, BUCKET9, BUCKET5, BUCKET5, BUCKET5, BUCKET6, BUCKET7, BUCKET6, BUCKET6, BUCKET4, BUCKET4, No
255.24, 4.0, BUCKET3, BUCKET4, BUCKET4, BUCKET5, BUCKET1, BUCKET9, BUCKET4, BUCKET5, BUCKET5, BUCKET6, BUCKET7, BUCKET5, BUCKET7, BUCKET3, BUCKET4, No
255.26, 4.0, BUCKET2, BUCKET3, BUCKET4, BUCKET5, BUCKET2, BUCKET8, BUCKET4, BUCKET5, BUCKET5, BUCKET6, BUCKET7, BUCKET4, BUCKET6, BUCKET3, BUCKET4, No
255.39, 4.0, BUCKET1, BUCKET3, BUCKET4, BUCKET5, BUCKET2, BUCKET7, BUCKET4, BUCKET5, BUCKET5, BUCKET6, BUCKET6, BUCKET9, BUCKET6, BUCKET3, BUCKET4, No
254.95, 4.0, BUCKET1, BUCKET3, BUCKET3, BUCKET7, BUCKET1, BUCKET6, BUCKET3, BUCKET4, BUCKET5, BUCKET6, BUCKET5, BUCKET9, BUCKET6, BUCKET3, BUCKET4, No
254.39, 3.0, BUCKET4, BUCKET2, BUCKET3, BUCKET8, BUCKET1, BUCKET4, BUCKET2, BUCKET2, BUCKET5, BUCKET6, BUCKET4, BUCKET11, BUCKET6, BUCKET2, BUCKET4, No
254.66, 3.0, BUCKET3, BUCKET2, BUCKET3, BUCKET8, BUCKET1, BUCKET5, BUCKET3, BUCKET3, BUCKET5, BUCKET6, BUCKET4, BUCKET12, BUCKET5, BUCKET2, BUCKET4, No
255.47, 3.0, BUCKET2, BUCKET2, BUCKET2, BUCKET8, BUCKET1, BUCKET5, BUCKET2, BUCKET3, BUCKET5, BUCKET6, BUCKET4, BUCKET8, BUCKET4, BUCKET2, BUCKET4, No
255.7, 3.0, BUCKET1, BUCKET2, BUCKET2, BUCKET8, BUCKET1, BUCKET4, BUCKET2, BUCKET3, BUCKET5, BUCKET6, BUCKET4, BUCKET8, BUCKET3, BUCKET2, BUCKET4, No
255.1, 2.0, BUCKET6, BUCKET1, BUCKET1, BUCKET9, BUCKET1, BUCKET3, BUCKET1, BUCKET2, BUCKET5, BUCKET6, BUCKET2, BUCKET10, BUCKET3, BUCKET2, BUCKET4, No
255.79, 2.0, BUCKET5, BUCKET2, BUCKET3, BUCKET9, BUCKET1, BUCKET4, BUCKET3, BUCKET2, BUCKET5, BUCKET6, BUCKET1, BUCKET10, BUCKET3, BUCKET2, BUCKET4, No
256.47, 2.0, BUCKET4, BUCKET2, BUCKET2, BUCKET9, BUCKET1, BUCKET4, BUCKET2, BUCKET3, BUCKET6, BUCKET6, BUCKET1, BUCKET11, BUCKET3, BUCKET2, BUCKET5, No
257.05, 2.0, BUCKET3, BUCKET3, BUCKET1, BUCKET8, BUCKET2, BUCKET5, BUCKET1, BUCKET3, BUCKET6, BUCKET6, BUCKET4, BUCKET11, BUCKET3, BUCKET2, BUCKET5, No
257.78, 1.0, BUCKET2, BUCKET5, BUCKET3, BUCKET8, BUCKET3, BUCKET7, BUCKET3, BUCKET4, BUCKET6, BUCKET6, BUCKET5, BUCKET3, BUCKET6, BUCKET2, BUCKET5, No
258.0, 1.0, BUCKET1, BUCKET5, BUCKET4, BUCKET8, BUCKET3, BUCKET8, BUCKET3, BUCKET5, BUCKET6, BUCKET6, BUCKET6, BUCKET2, BUCKET7, BUCKET3, BUCKET5, No
257.78, 1.0, BUCKET2, BUCKET5, BUCKET3, BUCKET8, BUCKET3, BUCKET7, BUCKET3, BUCKET4, BUCKET6, BUCKET6, BUCKET5, BUCKET3, BUCKET6, BUCKET2, BUCKET5, No
258.0, 1.0, BUCKET1, BUCKET5, BUCKET4, BUCKET8, BUCKET5, BUCKET6, BUCKET3, BUCKET4, BUCKET6, BUCKET6, BUCKET5, BUCKET3, BUCKET6, BUCKET3, BUCKET5, No
258.0, 0.0, BUCKET1, BUCKET5, BUCKET4, BUCKET8, BUCKET5, BUCKET4, BUCKET3, BUCKET4, BUCKET6, BUCKET6, BUCKET5, BUCKET9, BUCKET5, BUCKET2, BUCKET5, No
257.38, 0.0, BUCKET4, BUCKET4, BUCKET2, BUCKET9, BUCKET4, BUCKET3, BUCKET2, BUCKET3, BUCKET6, BUCKET6, BUCKET3, BUCKET3, BUCKET4, BUCKET3, BUCKET5, No
257.59, 0.0, BUCKET3, BUCKET4, BUCKET3, BUCKET9, BUCKET5, BUCKET3, BUCKET2, BUCKET3, BUCKET6, BUCKET6, BUCKET3, BUCKET0, BUCKET4, BUCKET3, BUCKET6, No
257.88, 0.0, BUCKET2, BUCKET5, BUCKET3, BUCKET9, BUCKET5, BUCKET4, BUCKET2, BUCKET3, BUCKET6, BUCKET6, BUCKET2, BUCKET9, BUCKET3, BUCKET3, BUCKET8, No
